center	中央
centimeter	センチメートル
central	中心の
century	世紀
certain	ある
certain	ある…，確信している
certainly	確かに
chain	くさり
chair	いす
chalk	チョーク
challenge	挑戦，難題／…に異議を唱える
chance	機会
chance	機会，可能性，偶然
change	変わる
character	性格，特質
characteristic	特徴
characterize	…を特徴づける
charge	非難，料金，管理／…に請求する
charm	魅力／…を魅了する
cheese	チーズ
chemical	化学の／化学製品
chicken	ニワトリ
child	子供
China	中国
Chinese	中国の，中国人の
choice	選択（肢）
choose	選ぶ
Christmas	クリスマス
circle	円
circumstance	（周囲の）状況
citizen	市民
civil	公民の，（軍事に対し）民間の
civilization	文明
civilized	発達した文明をもつ
claim	…が自分のものだと主張する
class	学級，授業
class	階級，等級，授業，学級
classical	古典の，古典的な
classroom	教室
clean	きれいな
clean	掃除する
clerk	事務員
clever	利口な
climate	気候
climate	気候
climb	登る
cling	しがみつく，固執する
clock	置き時計
close	閉じる
close	接近した
close	近い，親密な
closely	綿密に，密接に
cloth	布
clothes	服
cloud	雲
cloudy	曇った
club	クラブ
coat	コート
coffee	コーヒー
coin	硬貨
cold	冷たい，寒い
colleague	同僚
collect	集める
collect	…を集める，…を徴収する
college	大学
colony	植民地
color	色
combine	…を結合させる
come	来る
comfortable	心地の良い
command	…に［を］命じる／行使する力
commit	＜罪など＞を犯す
committee	委員会
common	共通の
common	一般的な，共通の
commonly	一般に
communicate	意思を伝える，…を伝達する
communication	コミュニケーション，意思の伝達
community	共同社会
companion	連れ，仲間
company	会社，仲間
compare	…を比較する，…をたとえる
comparison	比較
compete	競争する
competition	競争，競争相手
complain	不満を言う
complaint	不満
complete	完全な
complex	複雑な
complexity	複雑さ
complicated	複雑な
compose	…を構成する，＜曲や詩＞を作る
composition	構成，楽曲
computer	コンピュータ
concentrate	集中する
concerned	関わっている，心配している
concert	コンサート
conclude	締めくくる，…という結論を下す
conclusion	結論
condition	状態，条件
conduct	行為／…を行う
conference	会議
confidence	自信，信頼
confine	…を限る，…を閉じこめる
confirm	…を確認する
conflict	対立，争い
confront	…を直面させる
confuse	…を混乱させる
confusion	混乱
connect	…をつなげる
conscious	意識して，気づいて
consequence	結果
consequently	その結果
consider	…について考える，…を～だと見なす
considerable	かなりの
consist	成り立つ，存在する
constant	絶え間ない
constantly	常に
constitute	…を構成する
construct	…を組み立てる，…を建造する
construction	建設，構造
consume	…を消費する
consumption	消費
contact	…と連絡をとる／接触，連絡
contain	…を含む，…が入っている
contemporary	現在の，現代の，同時代の
content	中身，目次／満足して
contest	コンテスト
continent	大陸
continue	…を続ける
contract	契約
contrary	反対の
contrast	対照
contribute	寄付する，貢献する
contribution	寄付，貢献
control	支配，制御／…を支配［制御］する
convenient	都合がよい
convention	しきたり，（大規模な）会議
conversation	会話
convert	…を変える，変わる
convey	…を伝える，…を運ぶ
convince	…に納得させる
cook	料理する
cool	涼しい
cooperation	協力
cope	対処する
copy	模写する
copy	（本・雑誌などの）一冊／…をまねる
corner	かど
correct	正確な／…を訂正する
cost	…を（費用として）必要とさせる／費用
count	重要である，数える
couple	一対
courage	勇気
courage	勇気
course	進路
cousin	いとこ
cover	おおう
cover	…を覆う，…（の範囲を）カバーする
cow	雌牛
crash	衝突／衝突する
crazy	気の狂った
create	…を作り出す，…を創造する
creation	創造，創造物
creative	創造的な
crew	乗組員，一団
crime	犯罪
crisis	危機
critic	批評家，批判者
critical	極めて重要な，非常に深刻な
criticism	批判
criticize	…を批判する
crop	収穫物
cross	横切る
cross	…を横切る／不機嫌な
crowd	群衆
crowd	群衆，人混み
cry	泣く
cultivate	…を耕作する，…を栽培する
culture	文化
culture	文化
cup	カップ
cure	…を治療する
curiosity	好奇心
curious	好奇心が強い
current	現在の，目下の／流れ
curtain	カーテン
custom	習慣
custom	（社会的な）習慣，慣習
customer	顧客
cut	切る
cute	可愛い
dad	お父ちゃん
daily	毎日の
damage	被害
damage	損害／…に損害を与える
dance	踊る
danger	危険
dare	思い切って…する，生意気にも…する
dark	暗い，黒い
date	日付
date	デートする
day	日
dear	親愛なる
death	死
debate	討論
debt	借金，負債
decade	１０年
December	１２月
decide	決心する
decision	決定，決心
declare	…を宣言する
decline	…を断る，衰退する／低下，衰退
decrease	減少する／減少
deep	深い
defeat	…を負かす
defend	…を守る
define	…の意味を明確に述べる
definite	明確な
definition	定義
degree	程度，度
delay	…を遅らせる
deliberately	故意に
delicate	微妙な
delicious	おいしい
delight	喜び
deliver	…を配達する
demand	要求，需要／…を要求する
democracy	民主主義
democratic	民主主義の，民主的な
deny	…を否定する
depend	依存する，次第である
dependent	依存している
depress	…を落胆させる
derive	…を引き出す
describe	…について述べる，…を描写する
description	説明，描写
desert	砂漠
desert	砂漠／…を立ち去る
desirable	望ましい
desire	願望／…を強く望む
desk	机
despite	…にもかかわらず
destroy	破壊する
destroy	…を破壊する
destruction	破壊
detail	詳細
determine	…を決める
develop	…を発達［発展］させる，発達する
development	発展，発達
device	装置，仕掛け
devise	…を考え出す
devote	＜時間・努力＞を注ぐ
dialect	方言，なまり
diary	日記
dictionary	辞書
die	死ぬ
die	死ぬ
diet	（日常の）食事，ダイエット
difference	違い
different	違った
difficult	むずかしい
difficulty	困難，苦労
dignity	威厳，尊厳
diminish	減る，…を減らす
dinner	夕食
direct	直接の
direction	方向，方角
directly	直接（的）に
dirty	汚れた
disadvantage	不利，デメリット
disagree	一致しない
disappear	消える
disappoint	…をがっかりさせる
disaster	災害
discipline	しつけ，規律
discourage	…をがっかりさせる
discover	発見する
discover	…を発見する
discuss	話し合う
discuss	…について議論する
discussion	討論
discussion	議論
disease	病気
disease	病気
dish	皿，料理
dislike	嫌う
dislike	…を嫌がる／嫌悪
display	…を展示する／展示
dispute	争議，口論
distance	距離
distant	遠く離れた
distinct	はっきり異なる
distinction	区別，違い
distinguish	…を区別する
district	地域，地区
disturb	…の平穏を妨げる
divide	…を分割する
division	分割，部門
divorce	離婚
do	する
document	文書
dog	犬
doll	人形
dollar	ドル
domestic	国内の，家庭内の
dominate	…を支配する
door	ドア
doubt	疑い／…を疑う
down	下に
dramatic	劇的な
draw	描く，引く
draw	…を引きつける
dream	夢
dress	着る
dressed	服を身につけた
drink	飲む
drive	運転する
driver	運転手
drop	落とす
drug	麻薬，薬
dry	乾く
duck	あひる
due	行われる［到着する］予定である
dull	面白みのない，鈍い
dumb	口のきけない
during	～の間，～を通じて
dwell	住む
each	おのおのの
eager	強く望んでいる
ear	耳
early	早い
early	早く
earn	…を稼ぐ
earth	地球，大地
easily	かんたんに
east	東
easy	やさしい，気楽に
eat	食べる
ecology	生態（学）
economic	経済の，経済的な
economics	経済学
economy	経済
editor	編集者
educate	…を教育する
education	教育
educational	教育の，教育的な
effect	効果，影響，結果
effective	効果的な
effectively	効果的に
efficient	効率［能率］の良い
egg	卵
eight	8
eighteen	18
eighteenth	１８番目の
eighth	8番目の
eighty	80
either	(もまた)～でない
elaborate	手の込んだ
elderly	年配の
electrical	電気の
element	要素
elementary	初歩の，基本の
elephant	象
elevator	エレベーター
eleven	11
eleventh	11番目の
eliminate	…を取り除く
else	そのほかに
embarrass	…を恥ずかしがらせる，…にばつの悪い思いをさせる
emerge	現れる
emotion	感情
emotional	感情の，感情的な
emperor	皇帝，天皇
emphasize	…を強調する
employ	…を雇う
employee	従業員
empty	何も入っていない，空の
enable	…に可能にさせる
encounter	…に遭遇する
encourage	…を励ます，…を助長する
end	終わる
endure	…に耐える
enemy	敵
enemy	敵
energy	エネルギー
engaged	従事している，婚約している
engineer	エンジニア
England	イングランド
English	英語
enjoy	楽しむ
enormous	非常に大きい
enough	十分な
ensure	…を確実にする，…を保証する
enter	入る
enter	…に入る
enterprise	会社，事業
entertain	…を楽しませる
entertainment	娯楽
enthusiasm	情熱，熱意
entire	全体の，…全体
entirely	完全に，全く
entrance	入り口，入学
environment	環境
environmental	環境の
equal	等しい／…に等しい
equality	平等
equip	…に備え付ける［身につけさせる］
equivalent	等しい，同等の
era	時代
eraser	消しゴム
error	ミス，間違い
especially	特に
especially	特に
essential	不可欠な
essentially	本質的に
establish	…を設立する
estimate	…を推定する，…を見積もる／推定
Europe	ヨーロッパ
even	～さえ
evening	晩
event	出来事，行事
eventually	最終的には
ever	今まで
every	毎～
everybody	だれでもみな
everyone	みんな
everything	すべてのもの
everywhere	どこでも
evidence	証拠
evident	明らかな
evil	邪悪な，悪の
evolution	進化，進展
evolve	進化する
exact	正確な
exactly	正確［厳密］に，ちょうど
exam	試験
examine	…を検査する，…を調べる
example	例
except	…を除いて
exception	例外
excessive	過度の
exchange	交換／…を交換する
excite	…を興奮させる
excited	興奮した
exciting	興奮させる
excuse	許す
excuse	言い訳／…勘弁する
executive	幹部，重役
exercise	練習する
exercise	運動，練習／運動をする
exhaust	…を疲れ果てさせる，…を使い果たす
exhibit	…を表に出す，…を展示する，
exist	存在する
expand	…を拡大する
expect	…を予想する，…を期待する
expense	費用，出費，犠牲
expensive	値段が高い
experience	経験／…を経験する
experiment	実験
expert	専門家
explain	説明する
explain	…を説明する
explanation	説明　
explore	…を探索［探検］する
explosion	爆発
export	…を輸出する／輸出
expose	…を明らかにする，…をさらす
express	…を表現する
expression	表現
extend	延びる，…を拡張する
extent	程度
external	外部の
extinction	絶滅
extra	余分の
extraordinary	普通でない，並はずれた
extreme	極端な
extremely	極端に
eye	目
face	顔
face	…に直面する
facility	施設，設備
fact	事実
fact	事実
factor	要因，要素
factory	工場
fail	失敗する
fail	失敗する
failure	失敗，失敗作，失敗者
fair	公平な，かなりの
fairly	かなり，公平に
fairy	妖精
faith	信頼，信仰
fall	秋
fall	落ちる
familiar	馴染みのある
famous	有名な
famous	有名な
fan	ファン
far	遠くに，はるかに
farm	農場
farmer	農場主
fascinate	…を魅了する
fast	速い
fast	速く
fat	太った
fat	太った／脂肪
fate	運命
fault	欠点，過失，せい
favor	親切な行為
favorite	一番好きな，一番好きなもの
fear	…を恐れる／恐れ
feature	特徴／…を目玉とする
February	２月
feed	…に食べ物を与える，…を養う
feel	感じる
feeling	感覚
female	雌の，女性の／雌，女性
fence	塀
festival	祭り
few	(aをつけ)少数の
field	分野，領域，野原，畑
fifteen	15
fifteenth	１５番目の
fifth	5番目の
fifty	50
fight	戦う
figure	数字，姿，人物
fill	いっぱいにする
film	映画
final	最後の
finally	ついに
financial	財政の，金融の
find	見つける，～とわかる
fine	すばらしい，元気な，晴れた
fine	うまく
finger	指
finish	終える
fire	火
fire	…を首にする
firm	しっかりした，堅い／会社
firmly	堅く，堅固に
first	1番目の
fish	魚
fishing	魚釣り
fit	…に適合する／適した
five	5
fix	…を固定する，…を修理する
flame	炎
flat	平らな
flight	飛行
flight	飛行，（飛行機の）便
float	浮かぶ
flow	流れる／流れ
flower	花
fly	飛行機で行く，飛ぶ
focus	焦点／…を集中する
fold	…を折りたたむ
follow	…の後を追う
fond	好きで
food	食べ物
fool	馬鹿
foolish	愚かな
foot	足
football	フットボール
force	力／…を［に］強制する
foreign	外国の
forest	森林
forever	永久に
forever	永遠に
forget	忘れる
fork	フォーク
form	形態／…を形成する
former	前の／前者
forth	4番目の
fortune	運，財産
forty	40
forward	前方へ
found	…を設立する
foundation	土台，根拠，設立
four	4
fourteen	14
fourteenth	１４番目の
fox	キツネ
free	自由な，ひまな
free	束縛のない，無料の，暇な
freedom	自由
frequent	頻繁な
frequently	頻繁に
fresh	新鮮な
Friday	金曜日
friendly	好意的な
friendly	友好的な
frighten	…をおびえさせる，…を怖がらせる
frog	カエル
front	前
frontier	国境，辺境
fruit	果物
fuel	燃料
fulfill	…を果たす，…をかなえる
full	いっぱいの
full	いっぱいの，満腹である
fully	十分に，完全に
fun	楽しみ
function	機能／機能する
fund	資金，基金
fundamental	基本的な，根本的な
funeral	葬式
funny	おかしな
fur	毛皮
furniture	家具，調度品
future	未来
gain	…を得る／獲得
game	試合
garbage	（生）ゴミ，くず
gas	ガス
gather	…を集める，集まる
gaze	じっと見つめる
gene	遺伝子
general	一般的な，全般的な
generally	一般的に
generate	…を発生させる
generation	世代
generous	気前のよい
genius	天才
gentle	やさしい
gentle	穏やかな，やさしい
gentleman	紳士
gently	やさしく
genuine	本物の，偽りのない
get	得る，着く，乗る
get	…になる，…を手に入れる
gift	贈り物
give	与える，(会などを)開く
glad	うれしい
glass	コップ，ガラス
global	地球の，世界の
globe	地球
glove	グローブ
go	行く
goal	得点，ゴール
goal	目標，目的
God	神
god	神
gold	金
good	良い
goods	商品
govern	…を統治する
government	政府，統治
grade	評点，等級
gradually	次第に
graduate	卒業する
gram	グラム
grammar	文法
grand	壮大な
grandfather	祖父
grandmother	祖母
grant	給付金／…を与える
grape	ブドウ
grasp	…をつかむ，…を理解する
grass	草
grave	墓／深刻な
gray	灰色
great	すばらしい，広大な
green	緑の
greet	…にあいさつをする
ground	地面
ground	根拠，理由
group	グループ
grow	成長する，になる，増加する，育てる，栽培する
growth	成長
guarantee	…を保証する
guard	…の警護［監視］をする／警護者，監視者
guess	…だと思う，…を推測する／当てずっぽう
guest	客
guide	案内人
guide	案内人，案内書／…を案内する
guilty	有罪の
guitar	ギター
gun	鉄砲
gym	体育館
habit	習慣
habit	（個人の）習慣，癖
hair	髪
half	半分
hall	玄関の広間，ろうか
hand	手
hand	手渡す
handle	…を手で扱う，…にうまく対処する
hang	…をつるす，…を絞首刑にする
happen	起こる
happily	幸せに，楽しく
happiness	幸福
happy	幸福な，楽しい
hard	いっしょうけんめい
harm	害／…を害する
harmful	有害な
harmony	調和
harvest	収穫／…を収穫する
hat	帽子
hate	…をひどく嫌う
have	持っている，食べる
he	彼は
head	頭，先頭
health	健康
healthy	健康な
healthy	健康（的）な
hear	聞く
heart	心
heaven	天
heavy	重い，大量の
height	高さ
hello	こんにちわ
help	助ける
her	彼女の
her	彼女を（に）
here	ここに
hers	彼女のもの
herself	彼女自身
hesitate	ためらう
high	高い
highly	とても，高く
hill	丘
him	彼を(に)
himself	彼自身
hire	…を雇う
his	彼の
his	彼のもの
historical	歴史（上）の
history	歴史
history	歴史
hit	打つ
hit	…を叩く
hobby	趣味
hold	握る，開催する，差し出す
hold	…を（一時的に）持っている
hole	穴
holiday	休日
holy	神聖な
home	家を(へ)
home	故郷，家
homeroom	ホームルーム
homework	宿題
honest	正直な
honest	正直な
honey	蜂蜜
honor	名誉，敬意
hope	希望
hope	望む
horse	馬
host	主人
hot	暑い
hour	時間
household	（一つ屋根の下で暮らす）家族，家
how	どのくらい
however	しかし
however	しかしながら
huge	巨大な
human	人間の
human	人間の／人間
humanity	人間，人間性
hundred	百
hunger	飢え，空腹
hungry	空腹の
hunt	狩りをする
hunt	捜し求める
hurry	急ぐ
hurt	傷つける
hurt	…を傷つける
husband	夫
I	私は(が)
ice	氷
idea	考え
idea	考え，思いつき
ideal	理想／理想の
identical	全く同じ
identify	…を見分ける
if	もし
ignore	…を無視する
ill	病気の
illustrate	…を詳しく説明する
imagination	想像
imagine	想像する
imagine	…を想像する
imitate	…を模倣する
immediate	即座の
immediately	即座に
immigrant	移民
immigration	（他国からの）移住
impact	影響，衝撃
imply	…をほのめかす
import	…を輸入する／輸入
important	重要な
impose	…を課す
impossible	不可能な，だめな
impress	…に感銘を与える
impression	印象
improve	…を改善する
impulse	衝動
incident	事件
inclined	傾いている，傾向がある
include	…を含む
income	所得
increase	…を増やす，増える
increasingly	ますます
indeed	実に
indeed	確かに
independence	独立，自立
independent	独立した，自立した
indicate	…を指し示す
individual	個人の，個々の／個人
industrial	産業の，工業の
industrialize	…を産業化［工業化］する
industry	産業，工業
inevitable	避けられない
infant	幼児
inferior	劣った
influence	…に影響を及ぼす／影響
inform	…に知らせる
information	情報
inhabitant	（ある場所の）居住者，生息動物
initial	当初の
injury	けが
ink	インク
inner	内部の
insect	昆虫
inside	内側
insight	深く正確な理解，洞察（力）
insist	要求する，主張する
inspire	…を鼓舞する
instinct	本能
institution	制度，慣習，（重要な）施設
instruction	指示，指導
instrument	道具，器具
insurance	保険
intellectual	知的な，知性の
intelligence	知能，諜報
intelligent	知能の高い
intend	意図する，つもりである
interested	興味のある
interesting	おもしろい
interfere	干渉する，阻害する
internal	内部の
international	国際的な
international	国際的な
interpret	…を解釈する，通訳する
interrupt	…の邪魔をする，…を中断させる
intimate	親密な
introduce	紹介する，初めて伝える
introduce	…を紹介する，…を導入する
introduction	紹介，導入
invent	発明する
invent	…を発明する
investigate	（…を）調査する
investment	投資
invisible	見えない
invite	招待する
involve	…を含む，…を巻き込む
iron	鉄
island	島
isolate	…を孤立させる
issue	問題，（雑誌などの）号／…を出す
it	それは
it	それを(に)
item	項目
its	それの
itself	それ自身
jam	ジャム，混雑
January	１月
jeans	ジーンズ
jewel	宝石
job	仕事
join	参加する
journey	旅
joy	喜び
joy	喜び
judge	…を判断する／審判員，裁判官
judgement	判断
juice	ジュース
July	７月
jump	跳ぶ
June	６月
junior	年下の，下級の
junior	ポストが下の，下級の／年下の人
just	ちょうど，ただ単に
justify	…を正当化する
keen	切望した，熱意のある
keep	保つ，～を(持ち)続ける
key	鍵
kid	子供／（…を）からかう
kill	殺す
kilometer	キロメートル
kind	親切な
kind	種類
king	王様
kiss	キスをする
knife	ナイフ
knock	ノックする
know	知っている
knowledge	知識
labor	労働
laboratory	実験室
lack	不足，欠落／…がない
lady	婦人
lake	湖
land	陸地，土地
landscape	風景
language	言語
language	ことば，言語
large	大きい，広い
largely	主として
last	最後
last	この前の，最後の
later	後で
later	後に，…後
latest	最新の，最近の
latter	後者の
laugh	笑う
laughter	笑い
law	法律
law	法律，法則
lay	…を横たえる
lazy	怠け者の
lead	…の先頭に立つ，つながる
leaf	葉
leap	跳ぶ
learn	学ぶ，覚える
leave	去る，残す，置いて行く
left	左
leg	脚
legal	法律の，合法な
leisure	余暇
lemon	レモン
lend	貸す
lesson	授業，課
lesson	授業，教訓
letter	手紙
level	レベル，水準，程度
liberal	（他の思想に）寛大な，自由主義的な
liberty	自由
lie	嘘
lie	横たわる，～にある
lie	横たわる，嘘をつく
life	生活，生命，人生
life	生活，人生，生命
light	光，明かり，信号
light	薄い
like	好む
likely	可能性が高い
limit	限度，制限／…を制限する
limitation	制限，制約
line	線，列
line	行，列
lion	ライオン
lip	くちびる
list	リスト
listen	聴く
literally	文字通りに
literary	文学の
literature	文学
little	小さい，幼い，ちょっとした
live	住む，生きる
living	生きている
load	積み荷／…を積む
local	地元の
located	（ある場所に）位置する
location	位置，場所
locker	ロッカー
logic	論理，理屈
logical	論理的な
London	ロンドン
lonely	淋しい，ひとりの
long	長い
long	長く
long-term	長期的な
look	見る，～に見える
lord	封建君主，…卿，（（大文字で））神
lose	失う，負ける
lose	…を失う，負ける
loss	失うこと，損失
lost	道に迷った。
lot	たくさん
loud	(声の)大きい
love	愛，愛する人
love	愛する
lovely	美しい
low	低い
luck	運
luck	運，幸運
lucky	好運な
lunch	昼食
lung	肺
luxury	贅沢，贅沢品
machine	機械
magazine	雑誌
mail	郵便
mail	郵便／…を投函する
main	主な
maintain	…を維持する，…だと主張する
major	主な，大きな／専攻する
majority	大多数，大半
make	作る，～を～にする
mammal	哺乳動物
manage	何とかうまくやる，管理を行う
manager	部長，支配人，監督
manner	やり方，方法
manufacture	製造する
many	多くの
map	地図
March	３月
mark	印
mark	しるし，（試験の）点数／…の印となる
market	市場
market	市場
married	結婚した，既婚の
marry	結婚する
marry	…と結婚する
mass	塊，集団，大衆
massive	巨大な，大規模な
master	主人，達人／…を習得する
match	試合
match	試合／…と調和する
material	材料，原料／物質（的）な
math	数学
matter	問題，困ったこと
matter	事柄／重要である
mature	成熟した
May	５月
maybe	おそらく
maybe	たぶん，五分五分で
me	私を
meal	食事
meal	食事
mean	意味する
mean	…を意味する，…を意図する
meaning	意味
measure	措置，測るもの／…を測る
meat	肉
mechanical	機械の，機械的な
medal	メダル
medical	医学の，医療の
medicine	薬
medium	中間の
meet	会う
melon	メロン
melt	溶ける，…を溶かす
member	会員
mental	精神の，知的な
mention	…について言及する
menu	メニュー
merchant	商人
merchant	商人
merely	単に
merry	陽気な
meter	メートル
method	方法
middle	中央
midnight	真夜中
mile	マイル
military	軍隊の，軍事の
milk	牛乳
million	１００万
million	百万
mind	精神
mind	アタマ，思考／…を嫌がる
mine	私のもの
mineral	鉱物
minor	小さな，重要度の低い
minority	少数派
minute	分，ちょっとの間
mirror	鏡
miss	間違う，いなくてさみしく思う
miss	…が（い）ないのを寂しく思う，…に乗り損なう，ミスする
mistake	誤り
mistake	誤り／…を～と間違える
misunderstand	…を誤解する
mitt	ミット
mix	混ぜる
model	模型
modern	現代的な
modern	現代の，近代の
mom	おかあちゃん
moment	瞬間，時
Monday	月曜日
money	お金
monkey	サル
month	月
monthly	月刊
mood	気分
moon	月
morning	朝
most	ほとんど
most	大半／最も…
motive	動機
mountain	山
mouse	はつかねずみ
mouth	口
move	動く，感動させる
movement	動き，（政治的・社会的）運動
much	ずっと，たいへん
much	多量の
murder	(故意の）殺人／…を（故意に）殺す
museum	博物館
music	音楽
musical	音楽の
mutual	相互の
my	私の
myself	私自身を
mysterious	不可解な
myth	神話
name	名前
name	名づける
narrow	幅が狭い
nation	国家，民族，国民
national	国家の，国民の
national	国の，国立の
native	生まれ故郷の，生来の
natural	自然の
natural	当然の，自然の
naturally	当然，自然に
nature	自然
nature	自然，性質
nearby	近くの
necessarily	必然的に
necessary	必要な
necessary	必要な
necessity	必要，必要なもの
neck	首
need	必要な
negative	否定の，否定的［悲観的］な
